Indent number,x-coord,y-coord,Load,Hardness
1053,8500,8240,300,159
1054,8760,-1850,300,178
1055,8760,-1590,300,155
1056,8760,-1320,300,196
1057,8760,-1060,300,152
1058,8760,-790,300,162
1059,8760,-520,300,193
1060,8760,-260,300,167
1061,8760,10,300,171
1062,8760,270,300,165
1063,8760,540,300,169
1064,8760,800,300,161
1065,8760,1070,300,151
1066,8760,1330,300,154
1067,8760,1600,300,156
1068,8760,1870,300,167
1069,8760,2130,300,172
1070,8760,2400,300,168
1071,8760,2660,300,169
1072,8760,2930,300,167
1073,8760,3190,300,170
1074,8760,3460,300,169
1075,8760,3720,300,172
1076,8760,3990,300,164
1077,8760,4250,300,163
1078,8760,4520,300,163
1079,8760,4790,300,169
